common	events	1219	1	0	264	8616966
common	events	1220	1	0	264	8616966
common	events	1221	1	0	264	8616966
common	events	1430	66	65535	65535	11239422
common	events	1430	69	65535	65535	11239422
common	events	1430	79	65535	65535	2098176
common	events	1430	82	65535	65535	2098176
common	events	1430	92	65535	65535	2098176
common	events	1430	95	65535	65535	2098176
common	events	1430	105	65535	65535	11239422
common	events	1430	108	65535	65535	11239422
common	events	1430	118	65535	65535	2098176
common	events	1430	121	65535	65535	2098176
common	events	1430	131	65535	65535	2098176
common	events	1430	134	65535	65535	2098176
common	events	1430	144	65535	65535	2098176
common	events	1430	147	65535	65535	2098176
common	events	1430	157	65535	65535	2098176
common	events	1430	160	65535	65535	2098176
common	events	1430	170	65535	65535	2098176
common	events	1430	173	65535	65535	2098176
common	events	1430	183	65535	65535	2098176
common	events	1430	186	65535	65535	2098176
common	events	1430	196	65535	65535	2098176
common	events	1430	199	65535	65535	2098176
common	events	1430	209	65535	65535	2098176
common	events	1430	212	65535	65535	2098176
common	events	1430	222	65535	65535	2098176
common	events	1430	225	65535	65535	2098176
common	events	1430	235	65535	65535	2098176
common	events	1430	238	65535	65535	2098176
common	events	1430	19	65535	65535	8388608
common	events	1430	13	65535	65535	8650758
common	events	1430	26	65535	65535	8388608
common	events	1430	18	65535	65535	2046
common	events	1430	59	65535	65535	8650754
common	events	1430	261	65535	65535	1984
common	events	1430	260	65535	65535	1984
common	events	1430	259	65535	65535	0
common	events	1430	258	65535	65535	0
common	events	1430	38	65535	65535	0
common	events	1430	38	65535	65535	2
common	events	1449	1	0	264	8616966
common	events	1452	1	0	264	8616966
common	events	1458	40	0	45	8388610
common	events	1460	1	0	264	8592390
common	events	1461	1	0	264	8617038
common	events	1465	19	65535	65535	8388608
common	events	1477	71	1	1	4
common	events	1882	1	0	264	8616966
common	events	1883	1	0	264	8616966
common	events	1884	1	0	264	8617038
common	events	1885	1	0	264	8617038
common	events	1886	1	0	264	8617038
common	events	1887	1	0	264	8617038
common	varp	10160	67108929			
common	varp	4164	0			
common	varp	5861	0			
common	varp	4513	0			
common	varp	5731	0			
common	varc	1436	1			
common	varcstr	2516	Familiar Special Ability			
common	varcstr	2517	Cast your familiar's special ability.			
common	script	15997				
bar1032	events	1670	21	65535	65535	11239422
bar1032	events	1670	24	65535	65535	11239422
bar1032	events	1670	34	65535	65535	11239422
bar1032	events	1670	37	65535	65535	11239422
bar1032	events	1670	47	65535	65535	2098176
bar1032	events	1670	50	65535	65535	2098176
bar1032	events	1670	60	65535	65535	11239422
bar1032	events	1670	63	65535	65535	11239422
bar1032	events	1670	73	65535	65535	2098176
bar1032	events	1670	76	65535	65535	2098176
bar1032	events	1670	86	65535	65535	2098176
bar1032	events	1670	89	65535	65535	2098176
bar1032	events	1670	99	65535	65535	2098176
bar1032	events	1670	102	65535	65535	2098176
bar1032	events	1670	112	65535	65535	2098176
bar1032	events	1670	115	65535	65535	2098176
bar1032	events	1670	125	65535	65535	2098176
bar1032	events	1670	128	65535	65535	2098176
bar1032	events	1670	138	65535	65535	2098176
bar1032	events	1670	141	65535	65535	2098176
bar1032	events	1670	151	65535	65535	2098176
bar1032	events	1670	154	65535	65535	2098176
bar1032	events	1670	164	65535	65535	2098176
bar1032	events	1670	167	65535	65535	2098176
bar1032	events	1670	177	65535	65535	2098176
bar1032	events	1670	180	65535	65535	2098176
bar1032	events	1670	190	65535	65535	2098176
bar1032	events	1670	193	65535	65535	2098176
bar1033	events	1671	19	65535	65535	2098176
bar1033	events	1671	22	65535	65535	2098176
bar1033	events	1671	32	65535	65535	11239422
bar1033	events	1671	35	65535	65535	11239422
bar1033	events	1671	45	65535	65535	11239422
bar1033	events	1671	48	65535	65535	11239422
bar1033	events	1671	58	65535	65535	11239422
