varc	181	0
varc	1027	1
varc	1034	2
varc	3497	0
varc	1436	1
varcstr	2516	Familiar Special Ability
varcstr	2517	Cast your familiar's special ability.
varc	2834	1
varc	1413	1
varc	6348	0
varc	1077	0
varc	2746	0
varc	5153	1
varc	4738	0
varc	2059	0
varc	695	0
varc	4620	0
varc	4621	0
varc	4623	0
varc	4622	0
varc	1804	8
varc	1928	0
varc	4659	0
varc	4660	0
varc	4968	0
varc	4969	0
varc	1800	0
varcstr	2254	
varcstr	2255	
varcstr	2256	
varcstr	2257	
varcstr	2258	
varcstr	2259	
varcstr	2260	
varcstr	2261	
varcstr	2262	
varcstr	2263	
varcstr	2264	
varcstr	2265	
varcstr	2266	
varcstr	2267	
varcstr	2268	
varcstr	2269	
varcstr	2270	
varcstr	2271	
varcstr	2272	
varcstr	2273	
varcstr	2274	
varcstr	2275	
varcstr	2276	
varcstr	2277	
varcstr	2278	
varcstr	2279	
varcstr	2280	
varcstr	2281	
varcstr	2282	
varcstr	2283	
